stop_lat,stop_lon,stop_id,parent_station,stop_name,location_type
35.638405,-5.446945,node/6898503457,,Laalaouia,0
35.574064,-5.396166,node/8196047483,,Jamaa Mezouak,0
35.566288,-5.366464,node/8196047482,,Ancienne Gare,0
35.638389,-5.447000,node/8196909139,,Laalaouia,0
35.318969,-5.356677,node/6899208014,,Beni Hassan,0
35.594573,-5.347823,node/8188018836,,Bennouna Boussafou,0
35.576656,-5.410818,node/8191229022,,Mosquée El Kabdani,0
35.570268,-5.401683,node/8191229020,,Pharmacie 2000,0
35.575509,-5.408586,node/8191229021,,Résidence El Wikaya,0
35.578472,-5.361365,node/8188220737,,Mohamed Al Kharaz 1,0
35.577140,-5.362725,node/8188220736,,Souk Ziana,0
35.575470,-5.363354,node/8188220735,,Ziana,0
35.573161,-5.363073,node/8188220734,,Bab Saida,0
35.570453,-5.363464,node/8188220733,,Bab El Okla,0
35.558152,-5.412594,node/6899170969,,Grt Louha,0
35.581648,-5.356167,node/8188220739,,Mohamed Al Kharaz 3,0
35.579394,-5.358960,node/8188220738,,Mohamed Al Kharaz 2,0
35.602661,-5.336157,node/6900317890,,Marjane,0
35.555183,-5.378905,node/6899234179,,Saf Al Hamam 1,0
35.579146,-5.362099,node/8188287499,,Cheikh Ben Larbi Alaoui,0
35.580936,-5.360593,node/8188287498,,Haj Mohamed Bennouna 1,0
35.588890,-5.358480,node/8188287495,,Mokhtar Soussi,0
35.583598,-5.358729,node/8188287497,,Haj Mohamed Bennouna 2,0
35.565084,-5.368615,node/6899069778,,Aakbat El Halouf 1,0
35.583652,-5.358815,node/6910361864,,Haj Mohamed Bennouna 2,0
35.585394,-5.358776,node/6910361862,,Fatima Al Fihria,0
35.588895,-5.358506,node/6910361863,,Mokhtar Soussi,0
35.588710,-5.324263,node/6897143972,,Palais Riad,0
35.429415,-5.117479,node/8196697930,,El Contro,0
35.423066,-5.121831,node/8196697931,,Oued Laou,0
35.548172,-5.554703,node/6906735333,,Ain Lahcen,0
35.567044,-5.407162,node/6906735337,,Abattoirs,0
35.414230,-5.384613,node/8197425149,,Café El Mrabet,0
35.423467,-5.392225,node/8197425148,,Kchoue,0
35.482658,-5.411471,node/8197425141,,El Ksab,0
35.487016,-5.419917,node/8197425140,,Barrage Martil,0
35.460207,-5.404484,node/8197425143,,Moulay Abdessalam,0
35.470438,-5.402815,node/8197425142,,Zinat,0
35.447078,-5.393680,node/8197425145,,Café Sed,0
35.451157,-5.396420,node/8197425144,,Barrage Nakhla,0
35.434666,-5.391051,node/8197425147,,Enissar Joue,0
35.439860,-5.390919,node/8197425146,,Café Ayad,0
35.565229,-5.356535,node/8196235920,,Casablanca 2,0
35.470403,-5.402961,node/6899167636,,Zinat,0
35.627468,-5.281391,node/6897143977,,Dalia,0
35.486850,-5.420065,node/6899167639,,Barrage Martil,0
35.583209,-5.332224,node/8154841013,,9 Avril,0
35.569629,-5.383448,node/4613737391,,Lycée Jaber Ibnou Hayane,0
35.560486,-5.371018,node/566450850,,Gare Routière,0
35.573960,-5.396200,node/6904008880,,Jamaa Mezouak,0
35.575332,-5.349415,node/6904040664,,Kaboul - Tekniya,0
35.589811,-5.338175,node/6904040661,,Wilaya,0
35.565304,-5.412072,node/6898279955,,La Paloma,0
35.429497,-5.117541,node/6899394734,,El Contro,0
35.598560,-5.481817,node/6898279952,,Lafarge,0
35.559332,-5.500544,node/6906735239,,El Manar,0
35.576686,-5.410808,node/6898503413,,Mosquée El Kabdani,0
35.547759,-5.398324,node/8191086261,,Dar Zkiek,0
35.565477,-5.392411,node/8191086260,,Rommana,0
35.761213,-5.348490,node/1872002938,,Marina 2,0
35.570530,-5.383038,node/8191086267,,Dar Takafa,0
35.573504,-5.379584,node/8193863893,,Diour Lahjar,0
35.574426,-5.383345,node/8193863895,,Souk El Fahm,0
35.574612,-5.381365,node/8193863894,,Abdelkrim El Khattabi - Poste Maroc,0
35.574661,-5.389826,node/8193863897,,Cafe Terasa,0
35.574332,-5.386566,node/8193863896,,Cinéma Victoria,0
35.575256,-5.393810,node/8193863899,,Palais Essalam,0
35.574949,-5.391305,node/8193863898,,Snack Loujdi,0
35.555312,-5.401269,node/8241120138,,Lotissement Wikaya,0
35.569965,-5.399380,node/8191186415,,Ecole Chouhadae,0
35.571277,-5.400079,node/8191186414,,Bni Khanous 1,0
35.570254,-5.401650,node/8191186416,,Pharmacie 2000,0
35.574707,-5.405168,node/8191186411,,Résidence Jardin Taboula,0
35.572852,-5.401154,node/8191186413,,Bni Khanous 2,0
35.604736,-5.484145,node/6898280314,,Rwida,0
35.676779,-5.321396,node/2134361984,,Gorna,0
35.562623,-5.363179,node/8196161705,,Faculté Des Sciences,0
35.632402,-5.500971,node/8196766611,,Zouada,0
35.564760,-5.352418,node/8196161707,,Abdellah El Fakhar - Afriquia,0
35.597102,-5.430469,node/8196909141,,Lafarge,0
35.620359,-5.452765,node/8196909140,,Seddina,0
35.570389,-5.404155,node/8196909143,,Gorna Abattoirs,0
